University Name,No,Country,Group
Massachusetts Institute of Technology,5,United States,North American
University of Oxford,1,British,European
Stanford University,4,United States,North American
University of Cambridge,5,British,European
Harvard University,2,United States,North American
California Institute of Technology,2,United States,North American
Imperial College London,12,British,European
Swiss Federal Institute of Technology Zurich,15,Switzerland,European
University College London,18,British,European
University of Chicago,10,United States,North American
National University of Singapore,21,Singapore,Asia/Oceania
Nanyang Technological University,46,Singapore,Asia/Oceania
University of Pennsylvania,13,United States,North American
Swiss Federal Institute of Technology in Lausanne,40,Switzerland,European
Yale University,9,United States,North American
University of Edinburgh,30,British,European
Tsinghua University,16,China,Asia/Oceania
Peking University,16,China,Asia/Oceania
Columbia University,11,United States,North American
Princeton University,7,United States,North American
Cornell University,22,United States,North American
University of Hong Kong,30,"HongKong, China",Asia/Oceania
University of Tokyo,35,Japan,Asia/Oceania
"University of Michigan, Ann Arbor",24,United States,North American
Johns Hopkins University,13,United States,North American
University of Toronto,18,Canada,North American
McGill University,44,Canada,North American
Australian National University,54,Australia,Asia/Oceania
University of Manchester,50,British,European
Northwestern University,24,United States,North American
Fudan University,60,China,Asia/Oceania
"University of California, Berkeley",8,United States,North American
Kyoto University,61,Japan,Asia/Oceania
Hong Kong University of Science and Technology,66,"HongKong, China",Asia/Oceania
King's College London,35,British,European
Seoul National University,54,South Korea,Asia/Oceania
University of Melbourne,33,Australia,Asia/Oceania
University of Sydney,58,Australia,Asia/Oceania
Chinese University of Hong Kong,49,"HongKong, China",Asia/Oceania
"University of California, Los Angeles",20,United States,North American
Korea Advanced Institute of Science and Technology,99,South Korea,Asia/Oceania
New York University,26,United States,North American
University of New South Wales,201,Australia,Asia/Oceania
Paris Sciences & Lettres-PSL University,40,France,European
Zhejiang University,75,China,Asia/Oceania
University of British Columbia,37,Canada,North American
University of Queensland,54,Australia,Asia/Oceania
"University of California, San Diego",34,United States,North American
Institut Polytechnique de Paris,95,France,European
London School of Economics and Political Science,27,British,European
Shanghai Jiao Tong University,84,China,Asia/Oceania
Technical University of Munich,38,Germany,European
Duke University,23,United States,North American
Carnegie Mellon University,28,United States,North American
City University of Hong Kong,151,"HongKong, China",Asia/Oceania
University of Amsterdam,65,The Netherlands,European
Tokyo Institute of Technology,201,Japan,Asia/Oceania
Delft University of Technology,75,The Netherlands,European
Monash University,57,Australia,Asia/Oceania
Brown University,64,United States,North American
University of Warwick,78,British,European
University of Bristol,92,British,European
Ruprecht Karls University Heidelberg,201,Germany,European
University of Munich,32,Germany,European
Universiti Malaya,201,Malaysia,Asia/Oceania
Hong Kong Polytechnic University,91,"HongKong, China",Asia/Oceania
"University of Texas, Austin",47,United States,North American
National Taiwan University,113,"Taiwan, China",Asia/Oceania
Universidad de Buenos Aires,201,Argentina,other
KU Leuven,42,Belgium,European
University of Zurich,75,Switzerland,European
Sorbonne University,88,France,European
University of Glasgow,86,British,European
Korea University,201,South Korea,Asia/Oceania
Osaka University,201,Japan,Asia/Oceania
"University of Wisconsin, Madison",58,United States,North American
University of Southampton,124,British,European
Lomonosov Moscow State University,158,Russia,European
University of Copenhagen,96,Denmark,European
Yonsei University,151,South Korea,Asia/Oceania
Pohang University of Science and Technology,185,South Korea,Asia/Oceania
Durham University,162,British,European
Tohoku University,201,Japan,Asia/Oceania
"University of Illinois, Urbana-Champaign",48,United States,North American
University of Auckland,137,New Zealand,Asia/Oceania
University of Washington,29,United States,North American
Universite Paris Saclay,117,France,European
Lund University,116,Sweden,European
Georgia Institute of Technology,45,United States,North American
KTH Royal Institute of Technology,201,Sweden,European
University of Birmingham,105,British,European
University of St Andrews,201,British,European
University of Leeds,127,British,European
